NHD_NAME,income,housing_cost_burden_ratio,flood_zone_pct
Academy,45002.02869638849,0.5015215447520538,1.0
Baden,45272.15882410146,0.42432529013943293,0.9985660413979802
Benton Park,91600.43067637765,0.294213522676241,1.0000000000000002
Benton Park West,50195.96285084935,0.514048766011966,0.9999999999999999
Bevo Mill,55713.51228313938,0.32497268174434624,0.9999999999999997
Botanical Heights,96215.08536335449,0.3647928882019892,1.0000000000000002
Boulevard Heights,75025.98556160873,0.2609714230812518,0.9955474965103778
Carondelet,48955.08041722341,0.3860259053476758,0.9999313349624889
Carr Square,28158.419864203162,0.6080355699675639,0.9999999999999999
Central West End,60721.95197288397,0.45111072031221866,1.0
Cheltenham,79727.84217395233,0.21911121521969096,1.000000000000177
Clayton-Tamm,75897.97552392799,0.2113865626213185,1.0
Clifton Heights,80889.37519410816,0.3040915251068181,1.0000000000000002
College Hill,39848.224724758904,0.692822381475774,1.0000000000000002
Columbus Square,29271.333629747227,0.6305640071910263,1.0
Compton Heights,90577.41527031036,0.44399993889310035,0.9999999999999992
Covenant Blu-Grand Center,26306.58743477116,0.435843394150691,1.0000000000000002
DeBaliviere Place,52159.27494322978,0.4679168814461998,0.9999999999999997
Downtown,64085.85247811469,0.4107527407296654,1.0000000000000167
Downtown West,55062.07569673452,0.47474358735086236,1.0000000000000002
Dutchtown,48076.0493668797,0.4665860262654527,0.9999999999999999
Ellendale,80053.7414533319,0.35232725979274465,0.9974371694993338
Fairground Neighborhood,23005.267446595055,0.7113079834922609,0.9999999999999999
Forest Park South East,72965.47693091283,0.4786394492654548,1.0
Fountain Park,34096.85388860032,0.4608842206783416,1.0
Fox Park,84664.20553741572,0.4293525613414204,1.0
Franz Park,76868.29898302576,0.3599163067146044,0.9767007023592629
Gravois Park,44987.38789572111,0.44155296912899616,0.9999999999999998
Greater Ville,28109.8750144757,0.5321605857706153,1.0
Hamilton Heights,30994.743990571646,0.5663058243553284,0.9970475274928116
Hi-Pointe,73211.68859722944,0.20619483580452616,0.9856590729110195
Holly Hills,67574.22426093176,0.242318210223905,0.9999999999999999
Hyde Park,46926.69372089876,0.33458207175700566,0.999999999999992
Jeff Vanderlou,33819.783641813614,0.3666557591618103,1.0000000000000002
Kings Oak,79722.24536818484,0.21916685573061595,1.000000000000048
Kingsway East,51521.35127707923,0.5059992870540848,1.0000000000000002
Kingsway West,46143.81424346916,0.413215404899039,1.0
Kosciusko,61136.58148113512,0.402983649022788,0.9999999999999399
LaSalle Park,53985.94123328555,0.45025240405250555,1.0000000000000002
Lafayette Square,63958.11615545796,0.3887471601888076,1.0
Lewis Place,34472.502123798025,0.4758125859091722,1.0
Lindenwood Park,73572.3295031541,0.2577882170317048,0.9994550774173726
Marine Villa,67413.66797556203,0.3466355760989351,0.9999999999999678
Mark Twain,33083.386350130895,0.31337456895018007,0.9999999999999918
Mark Twain I-70 Industrial,50072.1828382463,0.477972151641359,0.9990833877530378
McKinley Heights,71599.57195322274,0.4169181739923066,0.9999999999999996
Midtown,32068.872364799037,0.5018098052090615,0.9999999999999996
Mount Pleasant,32509.854434770055,0.399064729003621,0.9999999999998349
Near North Riverfront,36501.30905635706,0.4908264125517459,0.9999999999999936
North Hampton,68148.30894998994,0.46938083642594425,0.9999999999999996
North Pointe,48462.265953901326,0.4570059746735435,0.9974787443390399
North Riverfront,34250.58587545503,0.592149443355222,1.00000000000001
O'Fallon,24511.105551786248,0.6004011376216704,1.0000000000000002
Old North St. Louis,18137.620899020312,0.4488901499866555,1.0000000000000002
Patch,42782.17291712208,0.4658928566416908,0.9932099882540769
Peabody Darst Webbe,62023.975903264436,0.398259353148638,1.0
Penrose,31230.88279870054,0.5855170333077339,0.9999999999999994
Princeton Heights,66048.1761340016,0.3299532598264145,0.9999999999999941
Riverview,38366.288990697234,0.6098444422066313,0.9896357189687949
Shaw,117479.5113982468,0.2974351005083155,1.0000000000000002
Skinker DeBaliviere,58453.94811192978,0.4990328266341157,0.9957115122148753
Soulard,66999.98574902238,0.4134887886171395,1.0000000000000004
Southampton,77026.24552606621,0.27687849917949586,0.9999999999999999
Southwest Garden,72575.65781108488,0.35828857269056397,1.0000000000000002
St. Louis Hills,77115.81227288721,0.38682108389691744,0.9981105609662091
St. Louis Place,23006.052210981645,0.4342929043481188,0.9999999999999999
The Gate District,65029.269603412286,0.40430321349734516,1.0000000000000002
The Hill,87380.78620656968,0.3290329646462576,0.9999999999999523
The Ville,27475.84899948135,0.47938256994735584,1.0
Tiffany,53791.664544502964,0.3825125725981396,1.0
Tower Grove East,92640.20332918866,0.4288868701340175,1.0
Tower Grove South,62599.250008846066,0.5023030446389427,0.9999999999999998
Vandeventer,33629.41244534154,0.4349243903777098,1.0
Visitation Park,59143.97877397038,0.47148078508454994,1.0
Walnut Park East,26761.31755563551,0.6631511127481708,1.0
Walnut Park West,41299.87935562649,0.5887025590856257,0.9979188243262053
Wells Goodfellow,37337.58746967077,0.38281445529834224,0.9963204004728117
West End,-239141706.073117,0.5738394679289794,0.9874041872677026
Wydown Skinker,78789.99539726214,0.472613488496679,0.9311193092108311
